Brand,Product Name,Price,Image URL,Product Link
Puma,Storm Everyday Backpack,"₹1,143",https://assets-jiocdn.ajio.com/medias/sys_master/root/20231127/TtSJ/65645da4ddf77915199e91a7/puma_black_storm_everyday_backpack.jpg,https://www.ajio.com/puma-storm-everyday-backpack-/p/466826583_black?
NIKE,Men Utility Speed Backpack,"₹3,746",https://assets-jiocdn.ajio.com/medias/sys_master/root/20250423/rPMN/6808982c55340d4b4ff3d6b4/nike_black_men_utility_speed_backpack.jpg,https://www.ajio.com/nike-men-utility-speed-backpack/p/469754986_black?
Skybags,Men Laptop Backpack with Zip Closure,₹560,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250305/0IXE/67c809172960820c49d038a1/skybags_grey_men_laptop_backpack_with_zip_closure.jpg,https://www.ajio.com/skybags-men-laptop-backpack-with-zip-closure/p/467095841_grey?
NIKE,DC4244-010 Logo Print Backpack,"₹1,496",https://assets-jiocdn.ajio.com/medias/sys_master/root/20220305/MB91/62226abbaeb26921afc87405/nike_black_dc4244-010_logo_print_backpack.jpg,https://www.ajio.com/nike-dc4244-010-logo-print-backpack/p/469146022_black?
NETPLAY,Men Camouflage Print Backpack with Adjustable Strap,₹330,https://assets-jiocdn.ajio.com/medias/sys_master/root/20240919/zIs8/66ec2148260f9c41e813b524/netplay_black_men_camouflage_print_backpack_with_adjustable_strap.jpg,https://www.ajio.com/netplay-men-camouflage-print-backpack-with-adjustable-strap/p/442691685_black?
Columbia,Men Back Pack with Adjustable Shoulder Strap,"₹4,999",https://assets-jiocdn.ajio.com/medias/sys_master/root/20250117/Yg19/678a4753663dbe1c5fdf6741/columbia_black_men_back_pack_with_adjustable_shoulder_strap.jpg,https://www.ajio.com/columbia-men-back-pack-with-adjustable-shoulder-strap/p/701064535_black?
Puma,Graphic Print Everyday Backpack,₹959,,https://www.ajio.com/puma-graphic-print-everyday-backpack/p/466824508_blue?
Puma,Men Zipper Closure Back Pack,"₹1,281",,https://www.ajio.com/puma-men-zipper-closure-back-pack/p/701633478_grey?
Columbia,Men Back Pack with Adjustable Shoulder Strap,"₹3,499",,https://www.ajio.com/columbia-men-back-pack-with-adjustable-shoulder-strap/p/701064559_black?
Leather World,Textured Back Pack Adjustable Strap,₹685,,https://www.ajio.com/leather-world-textured-back-pack-adjustable-strap/p/462389013_black?
NIKE,Men Hayward Brand Print Backpack,"₹3,436",,https://www.ajio.com/nike-men-hayward-brand-print-backpack/p/469754995_black?
Priority,Men Others Back Pack,₹464,,https://www.ajio.com/priority-men-others-back-pack/p/700644026_grey?
NIKE,Men Brand Print Backpack,"₹1,771",,https://www.ajio.com/nike-men-brand-print-backpack/p/469744887_blackgrey?
Puma,Printed Streak Backpack,₹749,,https://www.ajio.com/puma-printed-streak-backpack-/p/467019773_blue?
Priority,Graphic Print Back Pack with Zip-Closure,₹414,,https://www.ajio.com/priority-graphic-print-back-pack-with-zip-closure/p/466940022_multi?
Skybags,"Men 18"" Laptop Backpack",₹688,,https://www.ajio.com/skybags-men-18-laptop-backpack/p/469513536_black?
Puma,Backpack with Logo Accent,"₹1,649",,https://www.ajio.com/puma-backpack-with-logo-accent/p/700189845_black?
Wildcraft,Unisex Backpack with Multiple Compartments,"₹3,399",,https://www.ajio.com/wildcraft-unisex-backpack-with-multiple-compartments/p/701286986_khaki?
NIKE,Men Hayward Printed Backpack,"₹2,996",,https://www.ajio.com/nike-men-hayward-printed-backpack/p/469754996_blue?
NIKE,Men Brand Print Backpack,"₹1,771",,https://www.ajio.com/nike-men-brand-print-backpack/p/469744888_blue?
Wildcraft,WoUnisex Backpack with Adjustable Straps,"₹2,002",,https://www.ajio.com/wildcraft-wounisex-backpack-with-adjustable-straps/p/4945741800_multi?
Skybags,Men Tango Geometric Print Backpack,₹839,,https://www.ajio.com/skybags-men-tango-geometric-print-backpack/p/442172088_grey?
Puma,Men Everyday Back Pack,"₹1,749",,https://www.ajio.com/puma-men-everyday-back-pack/p/701579116_black?
Wildcraft,Unisex Backpacks with Adjustable Straps,"₹1,804",,https://www.ajio.com/wildcraft-unisex-backpacks-with-adjustable-straps/p/450121272_black?
Puma,Logo Print Elite Backpack,"₹1,575",,https://www.ajio.com/puma-logo-print-elite-backpack/p/700189182_black?
Skybags,Men Laptop Backpack with Zip Closure,"₹1,064",,https://www.ajio.com/skybags-men-laptop-backpack-with-zip-closure/p/467095831_black?
Wildcraft,Unisex Backpack with Multiple Compartments,"₹2,159",,https://www.ajio.com/wildcraft-unisex-backpack-with-multiple-compartments/p/701287055_black?
YOUSTA,Men Everyday Backpack with Adjustable Straps,₹799,,https://www.ajio.com/yousta-men-everyday-backpack-with-adjustable-straps/p/442950522_black?
Pazzo,Travel Bag with Adjustable Strap,₹899,,https://www.ajio.com/pazzo-travel-bag-with-adjustable-strap/p/469183540_blackblue?
Wildcraft,Unisex Backpack with Adjustable Straps,"₹2,184",,https://www.ajio.com/wildcraft-unisex-backpack-with-adjustable-straps/p/4929137700_multi?
Jack & Jones,"Men 15"" Colourblock Laptop Backpack with Adjustable Shoulder Straps","₹2,099",,https://www.ajio.com/jack--jones-men-15-colourblock-laptop-backpack-with-adjustable-shoulder-straps/p/467084025_green?
Skybags,Backpack with Adjustable Straps,₹576,,https://www.ajio.com/skybags-backpack-with-adjustable-straps/p/469200727_green?
Wildcraft,Men Laptop Back Pack,"₹2,499",,https://www.ajio.com/wildcraft-men-laptop-back-pack/p/701324879_grey?
NIKE,Men Utility Speed Backpack,"₹3,996",,https://www.ajio.com/nike-men-utility-speed-backpack/p/469754987_brown?
Urban Tribe,Havana Laptop Backpack,₹940,,https://www.ajio.com/urban-tribe-havana-laptop-backpack/p/460169668_black?
Wildcraft,Men Backpack with Multiple Compartments,"₹1,784",,https://www.ajio.com/wildcraft-men-backpack-with-multiple-compartments/p/701286975_tan?
NIKE,Logo Print Backpack,"₹2,971",,https://www.ajio.com/nike-logo-print-backpack/p/469626796_black?
PERFORMAX,Men Colourblock PSG Backpack,₹510,,https://www.ajio.com/performax-men-colourblock-psg-backpack/p/442530179_red?
Wildcraft,Men Back Pack with Adjustable Straps,"₹2,699",,https://www.ajio.com/wildcraft-men-back-pack-with-adjustable-straps/p/701336372_green?
NIKE,Men Heritage Backpack with Adjustable Straps,"₹1,871",,https://www.ajio.com/nike-men-heritage-backpack-with-adjustable-straps/p/469744902_blackgrey?
NIKE,Brasilia Backpack,"₹2,236",,https://www.ajio.com/nike-brasilia-backpack/p/469687908_blue?
MOKOBARA,Men Back Pack,"₹7,000",,https://www.ajio.com/mokobara-men-back-pack/p/701152861_black?
Puma,Men Everyday Backpack with Zip Closure,"₹1,189",,https://www.ajio.com/puma-men-everyday-backpack-with-zip-closure/p/701419972_green?
NIKE,Women Heritage Brand Print Backpack,"₹1,596",,https://www.ajio.com/nike-women-heritage-brand-print-backpack/p/469755012_grey?
UNITED COLORS OF BENETTON,Unisex Reign Casual Backpack,"₹1,754",,https://www.ajio.com/united-colors-of-benetton-unisex-reign-casual-backpack/p/442416733_lightblue?
ARMANI EXCHANGE,Logo Print Backpack with Zip Closure,"₹7,199",,https://www.ajio.com/armani-exchange-logo-print-backpack-with-zip-closure/p/410310435_00020?
PERFORMAX,Men Printed Backpack,₹390,,https://www.ajio.com/performax-men-printed-backpack/p/442125084_rust?
UNITED COLORS OF BENETTON,Laptop Backpack with Adjustable Strap,"₹1,979",,https://www.ajio.com/united-colors-of-benetton-laptop-backpack-with-adjustable-strap-/p/700412962_black?
REDHORNS,Men Laptop Back Pack,"₹2,500",,https://www.ajio.com/redhorns-men-laptop-back-pack/p/701044108_black?
Skybags,Men Typographic Print Laptop Backpack with Zip Closure,₹700,,https://www.ajio.com/skybags-men-typographic-print-laptop-backpack-with-zip-closure/p/467095828_black?
UNITED COLORS OF BENETTON,Unisex Reign Casual Backpack,"₹1,754",,https://www.ajio.com/united-colors-of-benetton-unisex-reign-casual-backpack/p/442416733_lightblue?
TOMMY HILFIGER,15'' Laptop Backpack with Adjustable Straps,"₹1,713",,https://www.ajio.com/tommy-hilfiger-15--laptop-backpack-with-adjustable-straps/p/460612697_black?
Skybags,Men Colourblock Laptop Backpack with Zip Closure,₹888,,https://www.ajio.com/skybags-men-colourblock-laptop-backpack-with-zip-closure/p/467095859_black?
Wildcraft,Unisex Backpack with Adjustable Straps,"₹2,184",,https://www.ajio.com/wildcraft-unisex-backpack-with-adjustable-straps/p/4929137700_multi?
ARMANI EXCHANGE,Logo Backpack with Side Pockets,"₹7,600",,https://www.ajio.com/armani-exchange-logo-backpack-with-side-pockets/p/410394392_31721?
Priority,Men Others Back Pack,₹464,,https://www.ajio.com/priority-men-others-back-pack/p/700519740_green?
UNITED COLORS OF BENETTON,Men Embroidered Backpack with Adjustable Strap,"₹1,889",,https://www.ajio.com/united-colors-of-benetton-men-embroidered-backpack-with-adjustable-strap/p/467046219_grey?
Puma,Logo Back Pack,"₹1,000",,https://www.ajio.com/puma-logo-back-pack/p/702045523_black?
Puma,Men Plus Backpack with Adjustable Shoulder Straps,"₹1,000",,https://www.ajio.com/puma-men-plus-backpack-with-adjustable-shoulder-straps/p/469755493_blue?
UNITED COLORS OF BENETTON,Men Typographic Print Backpack with Adjustable Strap,"₹1,664",,https://www.ajio.com/united-colors-of-benetton-men-typographic-print-backpack-with-adjustable-strap/p/467045648_blue?
NETPLAY,Men Backpack with Adjustable Strap,₹550,,https://www.ajio.com/netplay-men-backpack-with-adjustable-strap/p/442691686_black?
SUPERDRY,Men Tarp Embroidered Rucksack Backpack,"₹7,999",,https://www.ajio.com/superdry-men-tarp-embroidered-rucksack-backpack/p/410500919_b4g?
Priority,Graphic Print Back Pack with Zip-Closure,₹414,,https://www.ajio.com/priority-graphic-print-back-pack-with-zip-closure/p/466940022_multi?
Puma,Logo Printed Everyday Back Pack,₹779,,https://www.ajio.com/puma-logo-printed-everyday-back-pack/p/701965454_black?
LACOSTE,Large Brewen Racket Backpack,"₹16,150",,https://www.ajio.com/lacoste-large-brewen-racket-backpack/p/701685079_navy?
Wildcraft,Unisex Backpacks with Adjustable Straps,"₹1,804",,https://www.ajio.com/wildcraft-unisex-backpacks-with-adjustable-straps/p/450121272_black?
MaheTri,Men Strappy Backpack with Padded Laptop Sleeve,"₹6,000",,https://www.ajio.com/mahetri-men-strappy-backpack-with-padded-laptop-sleeve/p/467048860_brown?
Puma,Men Large Backpack with Adjustable Straps,"₹1,750",,https://www.ajio.com/puma-men-large-backpack-with-adjustable-straps/p/469755408_brown?
Priority,Men Others Back Pack,₹464,,https://www.ajio.com/priority-men-others-back-pack/p/700644026_grey?
VIP,Men Laptop Backpack,"₹4,800",,https://www.ajio.com/vip-men-laptop-backpack/p/701880264_black?
Puma,Men Borussia Dortmund Football Backpack,"₹1,500",,https://www.ajio.com/puma-men-borussia-dortmund-football-backpack/p/469755396_black?
UNITED COLORS OF BENETTON,Men Backpack with Adjustable Shoulder Straps,"₹1,319",,https://www.ajio.com/united-colors-of-benetton-men-backpack-with-adjustable-shoulder-straps/p/466943280_navy?
VIP,Men Laptop Backpack,"₹5,250",,https://www.ajio.com/vip-men-laptop-backpack/p/701880255_black?
Skybags,Men Typographic Print Backpack with Zip Closure,₹245,,https://www.ajio.com/skybags-men-typographic-print-backpack-with-zip-closure/p/467095856_blue?
Puma,Unisex Plus Logo Print Backpack,₹980,,https://www.ajio.com/puma-unisex-plus-logo-print-backpack/p/469755492_pink?
Puma,Brand Print Everyday Backpack,₹690,,https://www.ajio.com/puma-brand-print-everyday-backpack/p/466829937_black?
Skybags,Men Laptop Backpack with Adjustable Strap,"₹1,350",,https://www.ajio.com/skybags-men-laptop-backpack-with-adjustable-strap/p/700407607_teal?
REDHORNS,Men Back Pack,"₹3,500",,https://www.ajio.com/redhorns-men-back-pack/p/701172619_black?
CARLTON,Men Bradford Laptop Backpack,"₹4,500",,https://www.ajio.com/carlton-men-bradford-laptop-backpack/p/442225632_black?
